"","Brewery","City","State"
"513","Cigar City Brewing Company","Tampa","FL"
"514","Cigar City Brewing Company","Tampa","FL"
"515","Cigar City Brewing Company","Tampa","FL"
"516","Cigar City Brewing Company","Tampa","FL"
"517","Cigar City Brewing Company","Tampa","FL"
"518","Cigar City Brewing Company","Tampa","FL"
"519","Cigar City Brewing Company","Tampa","FL"
"520","Cigar City Brewing Company","Tampa","FL"
"521","Cigar City Brewing Company","Tampa","FL"
"522","Third Street Brewhouse","Cold Spring","MN"
"523","Narragansett Brewing Company","Providence","RI"
"524","Narragansett Brewing Company","Providence","RI"
"525","Narragansett Brewing Company","Providence","RI"
"526","Narragansett Brewing Company","Providence","RI"
"527","Narragansett Brewing Company","Providence","RI"
"528","Narragansett Brewing Company","Providence","RI"
"529","Narragansett Brewing Company","Providence","RI"
"530","Narragansett Brewing Company","Providence","RI"
"531","Narragansett Brewing Company","Providence","RI"
"532","Narragansett Brewing Company","Providence","RI"
"533","Grimm Brothers Brewhouse","Loveland","CO"
"534","Odyssey Beerwerks","Arvada","CO"
"535","Odyssey Beerwerks","Arvada","CO"
"536","Odyssey Beerwerks","Arvada","CO"
"537","Lonerider Brewing Company","Raleigh","NC"
"538","Lonerider Brewing Company","Raleigh","NC"
"539","Lonerider Brewing Company","Raleigh","NC"
"540","Oakshire Brewing","Eugene","OR"
"541","Oakshire Brewing","Eugene","OR"
"542","Oakshire Brewing","Eugene","OR"
"543","Oakshire Brewing","Eugene","OR"
"544","Tin Roof Brewing Company","Baton Rouge","LA"
"545","Tin Roof Brewing Company","Baton Rouge","LA"
"546","Tin Roof Brewing Company","Baton Rouge","LA"
"547","Tin Roof Brewing Company","Baton Rouge","LA"
"548","Tin Roof Brewing Company","Baton Rouge","LA"
"549","Tin Roof Brewing Company","Baton Rouge","LA"
"550","Three Creeks Brewing","Sisters","OR"
"551","Three Creeks Brewing","Sisters","OR"
"552","Three Creeks Brewing","Sisters","OR"
"553","Caldera Brewing Company","Ashland","OR"
"554","Caldera Brewing Company","Ashland","OR"
"555","Caldera Brewing Company","Ashland","OR"
"556","Caldera Brewing Company","Ashland","OR"
"557","Caldera Brewing Company","Ashland","OR"
"558","Caldera Brewing Company","Ashland","OR"
"559","Caldera Brewing Company","Ashland","OR"
"560","Caldera Brewing Company","Ashland","OR"
"561","Caldera Brewing Company","Ashland","OR"
"562","Caldera Brewing Company","Ashland","OR"
"563","Caldera Brewing Company","Ashland","OR"
